url,noc,main_duties
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=RCP4gKAzNpRQFk6PnmPXQUFXS9xjoBZqg1qseFHZ2Vk%3D,00010 – Legislators,"00010 – Legislators 
This group performs some or all of the following duties:


Enact, amend or repeal laws and regulations
Participate in developing or amending government policies, programs or procedures
Represent their government at local, national and international meetings and conferences
Respond to matters of concern to constituents or the general public
May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=vjLWcgKUZbzSPCCiAun%2Bxl1QihiUrRWmeoAt6TIUe%2BM%3D,00011 – Senior government managers and officials,"00011 – Senior government managers and officials 
This group performs some or all of the following duties:


Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees
Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision
Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members
Co-ordinate department activities with other senior government managers and officials
Make presentations to legislative and other government committees regarding policies, programs or budgets
Allocate human and financial resources to implement organizational policies and programs
Establish financial and administrative controls."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=DIZZVryTLeFUFsIOIjQjUdSRy5yWMIcWpZ1WgY9NY0c%3D,"00012 – Senior managers - financial, communications and other business services","00012 – Senior managers - financial, communications and other business services 
This group performs some or all of the following duties:


Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources
Authorize and organize the establishment of major departments and associated senior staff positions
Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning
Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions
Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=iozOh0j9me9E4YGUx808lZ7Y2eJPqWc%2FxCwizpv4H%2B0%3D,"00013 – Senior managers - health, education, social and community services and membership organizations","00013 – Senior managers - health, education, social and community services and membership organizations 
This group performs some or all of the following duties:


Establish objectives for the organization or institution and formulate or approve policies and programs
Authorize and organize the establishment of major departments and associated senior staff positions
Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning
Select middle managers, directors or other executive staff
Coordinate the work of regions, divisions or departments
Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=%2FrK2Maea2do5KrnpxEpRBmC0gbxefNMgUICgWeprYz8%3D,"00014 – Senior managers - trade, broadcasting and other services","00014 – Senior managers - trade, broadcasting and other services 
This group performs some or all of the following duties:


Establish objectives for the company and formulate or approve policies and programs
Authorize and organize the establishment of major departments and associated senior staff positions
Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning
Select middle managers, directors or other executive staff
Coordinate the work of regions, divisions or departments
Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=oerMarwD62BYiWXOdnECdH%2FiSNGcJuIPzkE%2BZ%2Ba04Ms%3D,"00015 – Senior managers - construction, transportation, production and utilities","00015 – Senior managers - construction, transportation, production and utilities 
This group performs some or all of the following duties:


Establish objectives for the company and formulate or approve policies and programs
Authorize and organize the establishment of major departments and associated senior staff positions
Allocate material, human and financial resources to implement company policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning
Select middle managers, directors or other executive staff
Coordinate the work of regions, divisions or departments
Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=s24r4whnfTmOAFDEQa8urOsq6UzfKveBPDpznN1fNxg%3D,10010 – Financial managers,"10010 – Financial managers 
This group performs some or all of the following duties:


Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department
Develop and implement the financial policies, systems and procedures of an establishment
Prepare or coordinate the preparation of financial statements, summaries, and other cost-benefit analyses and financial management reports
Coordinate the financial planning and budget process, and analyze and correct estimates
Supervise the development and implementation of financial simulation models
Evaluate financial reporting systems, accounting procedures and investment activities and make recommendations for changes to procedures, operating systems, budgets and other financial control functions to senior managers and other department or regional managers
Recruit, organize, train and manage staff
Act as liaison between the organization and its shareholders, the investing public and external financial analysts
Establish profitability standards for investment activities and handle mergers and/or acquisitions
Notify and report to senior management concerning any trends that are critical to the organization's financial performance."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=E8gLPUtmVgc9v5NEm22n3NmAqUcT97HpsPohrrVny0Y%3D,10011 – Human resources managers,"10011 – Human resources managers 
This group performs some or all of the following duties:


Plan, organize, direct, control and evaluate the operations of human resources or personnel departments
Plan human resource requirements in conjunction with other departmental managers
Coordinate internal and external training and recruitment activities
Develop and implement labour relations policies and procedures and negotiate collective agreements
Administer employee development, language training and health and safety programs
Advise and assist other departmental managers on interpretation and administration of personnel policies and programs
Oversee the classification and rating of occupations
Organize and conduct employee information meetings on employment policy, benefits and compensation and participate actively on various joint committees
Direct the organization's quality management program
Ensure compliance with legislation such as the Pay Equity Act."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=spM5aeqxh1diUYnkeNGqKeIsjMoR38VR%2B0JBa42KSeg%3D,10012 – Purchasing managers,"10012 – Purchasing managers 
This group performs some or all of the following duties:


Plan, organize, direct, control and evaluate the purchasing activities of an establishment
Develop purchasing policies and procedures and control purchasing department budget
Identify vendors of materials, equipment or supplies
Evaluate cost and quality of goods or services
Negotiate or oversee the negotiation of purchase contracts
Participate in the development of specifications for equipment, products or substitute materials
Review and process claims against suppliers
Interview, hire and oversee training of staff."
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=PDcdkbrQgxk1zJzS6L5W1f6KVARSKvZk8MyII4j%2Fae0%3D,10019 – Other administrative services managers,"10019 – Other administrative services managers 
This group performs some or all of the following duties:


Plan, organize, direct, control and evaluate the operations of a department providing a single administrative service or several administrative services
Direct and advise staff engaged in providing records management, security, finance, purchasing, human resources or other administrative services
Direct and control corporate governance and regulatory compliance procedures within the establishment
Plan, administer and control budgets for contracts, equipment and supplies
Prepare reports and briefs for management committees evaluating administrative services
Interview, hire and oversee training for staff."
